index,symbol,company,earning_dates,eps_estimates,eps_reported,surprise_percent
263,ABMD,"Abiomed, Inc.","Jul 28, 2016, 3 AMEDT",0.23,0.29,26.09
264,ABMD,"Abiomed, Inc.","May 03, 2016, 5 AMEDT",0.19,0.24,26.32
265,ABMD,"Abiomed, Inc.","Feb 04, 2016, 2 AMEST",0.15,0.23,51.32
266,ABMD,"Abiomed, Inc.","Oct 29, 2015, 3 AMEDT",0.16,0.17,9.68
267,ABMD,"Abiomed, Inc.","Aug 04, 2015, 3 AMEDT",0.08,0.2,143.9
268,ABMD,"Abiomed, Inc.","May 05, 2015, 3 AMEDT",0.14,0.28,104.38
269,ABMD,"Abiomed, Inc.","Jan 27, 2015, 11 AMEST",0.04,0.3,650.0
270,ABMD,"Abiomed, Inc.","Oct 30, 2014, 3 AMEDT",0.02,0.09,328.57
271,ABMD,"Abiomed, Inc.","Jul 31, 2014, 12 AMEDT",0.02,-0.04,-335.29
272,ABMD,"Abiomed, Inc.","May 01, 2014, 12 AMEDT",0.08,0.09,15.71
273,ABMD,"Abiomed, Inc.","Jan 30, 2014, 12 AMEST",0.05,0.11,144.44
274,ABMD,"Abiomed, Inc.","Nov 06, 2013, 12 AMEST",,0.07,2900.0
275,ABMD,"Abiomed, Inc.","Aug 01, 2013, 12 AMEDT",0.06,-0.04,-170.58
276,ABMD,"Abiomed, Inc.","May 02, 2013, 12 AMEDT",0.07,0.09,22.22
277,ABMD,"Abiomed, Inc.","Feb 06, 2013, 12 AMEST",0.07,0.07,2.94
278,ABMD,"Abiomed, Inc.","Nov 01, 2012, 12 AMEDT",0.05,0.13,141.86
279,ABMD,"Abiomed, Inc.","Aug 02, 2012, 12 AMEDT",0.03,0.08,166.67
280,ABMD,"Abiomed, Inc.","May 16, 2012, 12 AMEDT",0.06,0.06,-2.33
